,State,Lon,Lat,SorgType,Crop,Year,AbovegroundBiomass_gCm,GrainYield_gCm2,StrawYield_gCm2,Delta_soilC_gCm2,NO3leach_gNm2yr,N2Oflux_gNm2yr,NOflux_gNm2yr,CH4oxidation_gCm2yr,direct_N2O_gCO2e,indirect_N2O_vol_gCO2e,indirect_N2O_NO3_gCO2e,CH4_gCO2e,net_GHG_gCO2e,Delta_soilC_gCO2e,BSC g CO2eq/ton,BSC gCO2eq/ton without SOC,total g CO2eq/ton,total g CO2eq without SOC
0,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2020,62.371,60.1583,2.2127,,3.5001,0.054468,0.043561,0.143659,23.366772,2.12384172,11.26157175,-5.3441148,,,0,0,0,0
1,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2021,622.8216,0.0708,622.7508,75.4815,1.9457,0.075499,0.023749,0.134326,32.389071,1.98369171,6.26028975,-4.9969272,-241.1293747,-276.7655,11796.52951,6994.738018,11796.52951,6994.738018
2,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2022,125.8205,121.3703,4.4502,-106.3506,2.1053,0.068875,0.023285,0.12325,29.547375,3.29332575,6.77380275,-4.5849,424.9818035,389.9522,0,0,0,0
3,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2023,769.5774,0.0874,769.49,75.2273,2.5564,0.101389,0.029925,0.119631,43.495881,2.39591781,8.225217,-4.4502732,-226.1666907,-275.8334333,10448.11861,6575.09976,10448.11861,6575.09976
4,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2024,37.2714,35.9348,1.3366,-95.1235,2.8859,0.058754,0.021489,0.134422,25.205466,1.55835966,9.28538325,-5.0004984,379.8348772,348.7861667,0,0,0,0
5,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2025,703.6622,0.0799,703.5823,13.3178,3.0545,0.108618,0.032721,0.121368,46.597122,2.31152922,9.82785375,-4.5148896,5.389682037,-48.83193333,7491.811248,6741.926176,7491.811248,6741.926176
6,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2026,171.5403,165.473,6.0673,-57.4719,1.6114,0.067833,0.027203,0.123736,29.100357,3.86457357,5.1846795,-4.6029792,244.2769309,210.7303,0,0,0,0
7,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2027,606.7125,0.0691,606.6434,63.5215,1.9521,0.089544,0.027801,0.132398,38.414376,2.07483276,6.28088175,-4.9252056,-191.0672818,-232.9121667,11201.40946,7053.16594,11201.40946,7053.16594
8,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2028,138.7213,133.8047,4.9166,-61.927,3.8093,0.066088,0.021767,0.122102,28.351752,3.41693352,12.25642275,-4.5421944,266.5485805,227.0656667,0,0,0,0
9,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2029,749.0125,0.0851,748.9274,62.553,2.5288,0.103104,0.035483,0.122628,44.231616,2.37324516,8.136414,-4.5617616,-179.1814864,-229.361,9932.910922,6623.996624,9932.910922,6623.996624
10,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2030,54.1603,52.2023,1.958,-78.5249,3.4242,0.085574,0.029822,0.124654,36.711246,2.06981346,11.0173635,-4.6371288,333.0859275,287.9246333,0,0,0,0
11,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2031,656.4946,0.0743,656.4203,16.4912,3.154,0.10566,0.031856,0.120749,45.32814,2.2190454,10.147995,-4.4918628,-7.264415733,-60.46773333,7877.152109,6881.866918,7877.152109,6881.866918
12,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2032,127.8798,123.0129,4.8669,-51.1138,2.8091,0.060882,0.021693,0.134156,26.118378,3.33110778,9.03827925,-4.9906032,220.9144285,187.4172667,0,0,0,0
13,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2033,606.8445,0.069,606.7755,74.4141,2.5236,0.096065,0.029855,0.136395,41.211885,2.04961185,8.119683,-5.073894,-226.5444142,-272.8517,11911.19748,7052.67457,11911.19748,7052.674569
14,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2034,30.0178,28.9536,1.0642,-84.843,2.0621,0.052978,0.020294,0.137042,22.727562,1.34224662,6.63480675,-5.0979624,336.697653,311.091,0,0,0,0
15,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2035,683.3837,0.0777,683.306,113.1828,0.8969,0.064388,0.025297,0.140407,27.622452,2.12092452,2.88577575,-5.2231404,-387.5975881,-415.0036,13361.814,6799.722839,13361.814,6799.722839
16,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2036,75.1147,72.4493,2.6654,-101.0876,1.6848,0.052592,0.01888,0.137913,22.561968,2.38477668,5.420844,-5.1303636,395.8917584,370.6545333,0,0,0,0
17,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2037,594.1343,0.0675,594.0668,32.9055,3.9088,0.082043,0.031102,0.128028,35.196447,1.99803747,12.576564,-4.7626416,-75.64509313,-120.6535,9295.362318,7100.990029,9295.362318,7100.990029
18,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2038,165.9541,159.9197,6.0344,-49.2144,3.9564,0.063425,0.023168,0.133247,27.209325,3.76243725,12.729717,-4.9567884,219.1974909,180.4528,0,0,0,0
19,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2039,694.1828,0.0783,694.1045,132.8853,1.303,0.082104,0.027086,0.129679,35.222616,2.19907116,4.1924025,-4.8240588,-450.4560691,-487.2461,14353.06856,6768.523538,14353.06856,6768.523537
20,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2040,91.1889,87.9492,3.2397,-118.6509,3.6286,0.08137,0.027396,0.12206,34.90773,2.7737853,11.6750205,-4.540632,479.8692038,435.0533,0,0,0,0
21,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2041,727.4462,0.083,727.3632,142.4485,1.1151,0.064936,0.02511,0.134459,27.857544,2.21808444,3.58783425,-5.0018748,-493.6495788,-522.3111667,14436.84577,6678.244342,14436.84577,6678.244341
22,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2042,111.7289,107.7771,3.9518,-109.3591,2.4598,0.055196,0.021133,0.134015,23.679084,2.97895884,7.9144065,-4.985358,430.570458,400.9833667,0,0,0,0
23,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2043,738.3171,0.0828,738.2343,24.643,3.5647,0.121299,0.03,0.111782,52.037271,2.40239571,11.46942225,-4.1582904,-28.60686811,-90.35766667,7972.947032,6650.503638,7972.947032,6650.503638
24,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2044,143.8735,138.5447,5.3288,-53.3325,2.1868,0.061546,0.023434,0.12731,26.403234,3.51284934,7.036029,-4.735932,227.7686803,195.5525,0,0,0,0
25,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2045,680.0488,0.0772,679.9716,56.0344,2.775,0.094376,0.027135,0.125593,40.487304,2.18822604,8.9285625,-4.6720596,-158.5274337,-205.4594667,10074.24136,6809.557828,10074.24136,6809.557828
26,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2046,72.6884,70.1174,2.571,-61.8318,2.5408,0.053681,0.022771,0.135818,23.029149,2.30708049,8.175024,-5.0524296,255.1754239,226.7166,0,0,0,0
27,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2047,642.2642,0.0728,642.1914,-4.4523,4.6088,0.154001,0.040582,0.116901,66.066429,2.40454929,14.828814,-4.3487172,95.27617509,16.3251,6653.461816,6928.122911,6653.461817,6928.122911
28,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2048,64.9046,62.6026,2.302,-63.7808,1.8972,0.051204,0.020882,0.133694,21.966516,2.17461816,6.104241,-4.9734168,259.1348917,233.8629333,0,0,0,0
29,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2049,583.1844,0.0661,583.1183,94.647,1.9055,0.086615,0.031611,0.134977,37.157835,2.00220735,6.13094625,-5.0211444,-306.7691558,-347.039,13574.5459,7144.302743,13574.5459,7144.302743
30,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2050,71.7744,68.9986,2.7758,-91.8557,3.1697,0.063613,0.023174,0.131373,27.289977,2.40245577,10.19850975,-4.8870756,371.8081003,336.8042333,0,0,0,0
31,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2051,666.2338,0.0755,666.1583,38.509,3.6429,0.111762,0.042791,0.12203,47.945898,2.25251598,11.72103075,-4.539516,-83.81973794,-141.1996667,9141.488493,6851.348555,9141.488493,6851.348555
32,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2052,151.8768,146.5763,5.3005,-69.7403,2.7703,0.073954,0.024491,0.118057,31.726266,3.59825466,8.91344025,-4.3917204,295.5606738,255.7144333,0,0,0,0
33,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2053,775.8401,0.0886,775.7515,68.5501,1.8617,0.095576,0.03295,0.128429,41.002104,2.39929404,5.99001975,-4.7775588,-206.7365077,-251.3503667,10061.48372,6560.723933,10061.48372,6560.723933
34,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2054,43.5138,41.9669,1.5469,-61.4512,2.8102,0.049975,0.018635,0.136638,21.439275,1.66741575,9.0418185,-5.0829336,252.3866423,225.3210667,0,0,0,0
35,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2055,689.5473,0.0781,689.4692,43.1204,2.2472,0.096304,0.028989,0.127065,41.314416,2.17933716,7.230366,-4.726818,-112.1108322,-158.1081333,9259.475775,6781.79609,9259.475775,6781.79609
36,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2056,88.2612,85.1245,3.1367,-76.7617,4.2012,0.062109,0.022643,0.129698,26.644761,2.64396561,13.517361,-4.8247656,319.4408887,281.4595667,0,0,0,0
37,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2057,614.7082,0.0697,614.6385,68.3528,2.3628,0.080256,0.028162,0.126069,34.429824,2.01825624,7.602309,-4.6897668,-211.2663109,-250.6269333,11429.47072,7023.782658,11429.47072,7023.782658
38,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2058,60.7339,58.5791,2.1548,-76.2295,2.498,0.059016,0.023707,0.132387,25.317864,2.10817464,8.037315,-4.9247964,310.0467239,279.5081667,0,0,0,0
39,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2059,621.2487,0.0706,621.1781,92.5214,2.2044,0.075469,0.021478,0.133467,32.376201,1.99214301,7.092657,-4.9649724,-302.7491047,-339.2451333,12901.00415,7000.309462,12901.00415,7000.309462
40,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2060,120.0647,115.818,4.2467,-88.4526,1.9791,0.060176,0.020767,0.123997,25.815504,3.14918604,6.36775425,-4.6126884,355.0459559,324.3262,0,0,0,0
41,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2061,723.0845,0.0821,723.0024,89.9111,2.5272,0.094013,0.028543,0.120029,40.331577,2.25144777,8.131266,-4.4650788,-283.4248214,-329.6740333,11616.24768,6689.609137,11616.24768,6689.609137
42,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2062,35.0218,33.765,1.2568,-83.5371,2.5948,0.05078,0.018828,0.134723,21.78462,1.4495052,8.348769,-5.0116956,332.8738986,306.3027,0,0,0,0
43,Arkansas,268.47822,34.21908,SweetSorghum,Sorghum,2063,666.9584,0.0757,666.8827,29.6118,2.8362,0.099986,0.030414,0.121484,42.893994,2.19684894,9.1254735,-4.5192048,-58.87948836,-108.5766,8608.221595,6849.1136,8608.221595,6849.1136
44,Arkansas,268.47822,34.21908,SweetSorghum,Soybean,2064,165.7148,159.8535,5.8613,-45.6157,1.4589,0.059033,0.024197,0.123939,25.325157,3.72729357,4.69401075,-4.6105308,196.3934972,167.2575667,0,0,0,0
